id,listing_url,host_since,neighbourhood,room_type,guests_included,total_amenities,Bed linens,Buzzer/wireless intercom,Cable TV,Carbon monoxide detector,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Dryer,Elevator,Extra pillows and blankets,Family/kid friendly,Fire extinguisher,First aid kit,Free street parking,Hair dryer,Hangers,Host greets you,Hot water,Internet,Iron,Laptop friendly workspace,Lock on bedroom door,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Patio or balcony,Pets allowed,Private entrance,Private living room,Refrigerator,Shampoo,Smoke detector,Smoking allowed,Stove,TV,Washer,translation missing: en.hosting_amenity_50,price
3176,https://www.airbnb.com/rooms/3176,2008-10-19,Prenzlauer Berg,Entire home/apt,2,13,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,90.0
3309,https://www.airbnb.com/rooms/3309,2008-11-07,Schöneberg,Private room,1,18,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,28.0
7071,https://www.airbnb.com/rooms/7071,2009-05-16,Prenzlauer Berg,Private room,1,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,33.0
9991,https://www.airbnb.com/rooms/9991,2009-08-25,Prenzlauer Berg,Entire home/apt,5,23,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,180.0
14325,https://www.airbnb.com/rooms/14325,2009-11-18,Prenzlauer Berg,Entire home/apt,1,11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,70.0
16644,https://www.airbnb.com/rooms/16644,2009-12-20,Kreuzberg,Entire home/apt,2,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,90.0
17904,https://www.airbnb.com/rooms/17904,2010-01-08,Neukölln,Entire home/apt,1,15,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,49.0
21869,https://www.airbnb.com/rooms/21869,2009-12-20,Kreuzberg,Entire home/apt,2,12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,70.0
22415,https://www.airbnb.com/rooms/22415,2010-02-27,Kreuzberg,Entire home/apt,2,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,98.0
22677,https://www.airbnb.com/rooms/22677,2010-03-02,Mitte,Entire home/apt,4,20,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,160.0
